Area,Item,Year,Value,Percent
France,Cropland,1967,58.93,0.5893
France,Cropland,1968,58.18,0.5818
France,Cropland,1969,58.07,0.5807
France,Cropland,1970,58.78,0.5878
France,Cropland,1971,57.29,0.5729
France,Cropland,1972,57.3,0.573
France,Cropland,1973,57.61,0.5761
France,Cropland,1974,58.22,0.5822
France,Cropland,1975,58.58,0.5858
France,Cropland,1976,58.51,0.5851
France,Cropland,1977,59.03,0.5903
France,Cropland,1978,59.37,0.5937
France,Cropland,1979,59.44,0.5944
France,Cropland,1980,59.49,0.5949
France,Cropland,1981,59.7,0.597
France,Cropland,1982,60.11,0.6011
France,Cropland,1983,60.28,0.6028
France,Cropland,1984,60.76,0.6076
France,Cropland,1985,61.2,0.612
France,Cropland,1986,61.48,0.6148
France,Cropland,1987,62.06,0.6206
France,Cropland,1988,61.79,0.6179
France,Cropland,1989,61.57,0.6157
France,Cropland,1990,62.08,0.6208
France,Cropland,1991,62.45,0.6245
France,Cropland,1992,62.7,0.627
France,Cropland,1993,63.48,0.6348
France,Cropland,1994,63.84,0.6384
France,Cropland,1995,64.17,0.6417
France,Cropland,1996,64.35,0.6435
France,Cropland,1997,64.65,0.6465
France,Cropland,1998,64.92,0.6492
France,Cropland,1999,65.14,0.6514
France,Cropland,2000,65.4,0.654
France,Cropland,2001,65.56,0.6556
France,Cropland,2002,65.85,0.6585
France,Cropland,2003,65.93,0.6593
France,Cropland,2004,66.12,0.6612
France,Cropland,2005,66.31,0.6631
France,Cropland,2006,66.3,0.663
France,Cropland,2007,66.28,0.6628
France,Cropland,2008,66.37,0.6637
France,Cropland,2009,66.45,0.6645
France,Cropland,2010,66.76,0.6676
France,Cropland,2011,66.77,0.6677
France,Cropland,2012,66.86,0.6686
France,Cropland,2013,67.08,0.6708
France,Cropland,2014,67.19,0.6719
France,Cropland,2015,67.76,0.6776
France,Cropland,2016,67.37,0.6737
France,Cropland,2017,67.82,0.6782
France,Cropland,2018,66.76,0.6676
France,Cropland,2019,66.65,0.6665
France,Cropland,1961,39.09,0.3909
France,Cropland,1962,38.94,0.3894
France,Cropland,1963,38.79,0.3879
France,Cropland,1964,38.04,0.3804
France,Cropland,1965,37.52,0.3752
France,Cropland,1966,36.92,0.3692
France,Cropland,1967,36.19,0.3619
France,Cropland,1968,35.25,0.3525
France,Cropland,1969,35.18,0.3518
France,Cropland,1970,34.88,0.3488
France,Cropland,1971,34.13,0.3413
France,Cropland,1972,34.03,0.3403
France,Cropland,1973,34.15,0.3415
France,Cropland,1974,34.49,0.3449
France,Cropland,1975,34.62,0.3462
France,Cropland,1976,34.22,0.3422
France,Cropland,1977,34.4,0.344
France,Cropland,1978,34.65,0.3465
France,Cropland,1979,34.56,0.3456
France,Cropland,1980,34.47,0.3447
France,Cropland,1981,34.55,0.3455
France,Cropland,1982,34.74,0.3474
France,Cropland,1983,34.75,0.3475
France,Cropland,1984,34.96,0.3496
France,Cropland,1985,35.14,0.3514
France,Cropland,1986,35.25,0.3525
France,Cropland,1987,35.54,0.3554
France,Cropland,1988,34.79,0.3479
France,Cropland,1989,34.57,0.3457
France,Cropland,1990,34.69,0.3469
France,Cropland,1991,34.77,0.3477
France,Cropland,1992,34.79,0.3479
France,Cropland,1993,35.12,0.3512
France,Cropland,1994,35.22,0.3522
France,Cropland,1995,35.33,0.3533
France,Cropland,1996,35.37,0.3537
France,Cropland,1997,35.47,0.3547
France,Cropland,1998,35.54,0.3554
France,Cropland,1999,35.61,0.3561
France,Cropland,2000,35.6,0.356
France,Cropland,2001,35.58,0.3558
France,Cropland,2002,35.61,0.3561
France,Cropland,2003,35.54,0.3554
France,Cropland,2004,35.57,0.3557
France,Cropland,2005,35.59,0.3559
France,Cropland,2006,35.5,0.355
France,Cropland,2007,35.35,0.3535
France,Cropland,2008,35.28,0.3528
France,Cropland,2009,35.22,0.3522
France,Cropland,2010,35.27,0.3527
France,Cropland,2011,35.21,0.3521
France,Cropland,2012,35.22,0.3522
France,Cropland,2013,35.25,0.3525
France,Cropland,2014,35.3,0.353
France,Cropland,2015,35.55,0.3555
France,Cropland,2016,35.34,0.3534
France,Cropland,2017,35.55,0.3555
France,Cropland,2018,34.94,0.3494
France,Cropland,2019,34.84,0.3484
France,Forest land,1990,26.36,0.2636
France,Forest land,1991,26.52,0.2652
France,Forest land,1992,26.68,0.2668
France,Forest land,1993,26.83,0.2683
France,Forest land,1994,26.99,0.2699
France,Forest land,1995,27.14,0.2714
France,Forest land,1996,27.3,0.273
France,Forest land,1997,27.45,0.2745
France,Forest land,1998,27.61,0.2761
France,Forest land,1999,27.76,0.2776
France,Forest land,2000,27.92,0.2792
France,Forest land,2001,28.13,0.2813
France,Forest land,2002,28.33,0.2833
France,Forest land,2003,28.52,0.2852
France,Forest land,2004,28.75,0.2875
France,Forest land,2005,28.95,0.2895
France,Forest land,2006,29.16,0.2916
France,Forest land,2007,29.37,0.2937
France,Forest land,2008,29.57,0.2957
France,Forest land,2009,29.78,0.2978
France,Forest land,2010,29.99,0.2999
France,Forest land,2011,30.14,0.3014
France,Forest land,2012,30.29,0.3029
France,Forest land,2013,30.44,0.3044
France,Forest land,2014,30.6,0.306
France,Forest land,2015,30.75,0.3075
France,Forest land,2016,30.9,0.309
France,Forest land,2017,31.05,0.3105
France,Forest land,2018,31.2,0.312
France,Forest land,2019,31.36,0.3136
France,Planted Forest,1990,10.58,0.1058
France,Planted Forest,1991,10.56,0.1056
France,Planted Forest,1992,10.54,0.1054
France,Planted Forest,1993,10.52,0.1052
France,Planted Forest,1994,10.5,0.105
France,Planted Forest,1995,10.48,0.1048
France,Planted Forest,1996,10.46,0.1046
France,Planted Forest,1997,10.43,0.1043
France,Planted Forest,1998,10.41,0.1041
France,Planted Forest,1999,10.39,0.1039
France,Planted Forest,2000,10.37,0.1037
France,Planted Forest,2001,10.61,0.1061
France,Planted Forest,2002,10.85,0.1085
France,Planted Forest,2003,11.08,0.1108
France,Planted Forest,2004,11.31,0.1131
France,Planted Forest,2005,11.54,0.1154
France,Planted Forest,2006,11.76,0.1176
France,Planted Forest,2007,11.98,0.1198
France,Planted Forest,2008,12.2,0.122
France,Planted Forest,2009,12.41,0.1241
France,Planted Forest,2010,12.63,0.1263
France,Planted Forest,2011,12.79,0.1279
France,Planted Forest,2012,12.95,0.1295
France,Planted Forest,2013,13.11,0.1311
France,Planted Forest,2014,13.27,0.1327
France,Planted Forest,2015,13.42,0.1342
France,Planted Forest,2016,13.56,0.1356
France,Planted Forest,2017,13.7,0.137
France,Planted Forest,2018,13.84,0.1384
France,Planted Forest,2019,13.97,0.1397
France,Naturally regenerating forest,1990,89.42,0.8942
France,Naturally regenerating forest,1991,89.44,0.8944
France,Naturally regenerating forest,1992,89.46,0.8946
France,Naturally regenerating forest,1993,89.48,0.8948
France,Naturally regenerating forest,1994,89.5,0.895
France,Naturally regenerating forest,1995,89.52,0.8952
France,Naturally regenerating forest,1996,89.54,0.8954
France,Naturally regenerating forest,1997,89.57,0.8957
France,Naturally regenerating forest,1998,89.59,0.8959
France,Naturally regenerating forest,1999,89.61,0.8961
France,Naturally regenerating forest,2000,89.63,0.8963
France,Naturally regenerating forest,2001,89.39,0.8939
France,Naturally regenerating forest,2002,89.15,0.8915
France,Naturally regenerating forest,2003,88.92,0.8892
France,Naturally regenerating forest,2004,88.69,0.8869
France,Naturally regenerating forest,2005,88.46,0.8846
France,Naturally regenerating forest,2006,88.24,0.8824
France,Naturally regenerating forest,2007,88.02,0.8802
France,Naturally regenerating forest,2008,87.8,0.878
France,Naturally regenerating forest,2009,87.59,0.8759
France,Naturally regenerating forest,2010,87.37,0.8737
France,Naturally regenerating forest,2011,87.21,0.8721
France,Naturally regenerating forest,2012,87.05,0.8705
France,Naturally regenerating forest,2013,86.89,0.8689
France,Naturally regenerating forest,2014,86.73,0.8673
France,Naturally regenerating forest,2015,86.58,0.8658
France,Naturally regenerating forest,2016,86.44,0.8644
France,Naturally regenerating forest,2017,86.3,0.863
France,Naturally regenerating forest,2018,86.16,0.8616
France,Naturally regenerating forest,2019,86.03,0.8603
India,Agricultural land,1961,58.84,0.5884
India,Agricultural land,1962,59.36,0.5936
India,Agricultural land,1963,59.25,0.5925
India,Agricultural land,1964,59.44,0.5944
India,Agricultural land,1965,59.59,0.5959
India,Agricultural land,1966,59.71,0.5971
India,Agricultural land,1967,59.8,0.598
India,Agricultural land,1968,59.99,0.5999
India,Agricultural land,1969,59.8,0.598
India,Agricultural land,1970,59.89,0.5989
India,Agricultural land,1971,59.81,0.5981
India,Agricultural land,1972,59.85,0.5985
India,Agricultural land,1973,60.12,0.6012
India,Agricultural land,1974,60.3,0.603
India,Agricultural land,1975,60.44,0.6044
India,Agricultural land,1976,60.42,0.6042
India,Agricultural land,1977,60.4,0.604
India,Agricultural land,1978,60.74,0.6074
India,Agricultural land,1979,60.74,0.6074
India,Agricultural land,1980,60.63,0.6063
India,Agricultural land,1981,60.68,0.6068
India,Agricultural land,1982,60.8,0.608
India,Agricultural land,1983,60.7,0.607
India,Agricultural land,1984,61.03,0.6103
India,Agricultural land,1985,60.99,0.6099
India,Agricultural land,1986,60.94,0.6094
India,Agricultural land,1987,61.06,0.6106
India,Agricultural land,1988,60.91,0.6091
India,Agricultural land,1989,61.05,0.6105
India,Agricultural land,1990,61.02,0.6102
India,Agricultural land,1991,61.07,0.6107
India,Agricultural land,1992,60.98,0.6098
India,Agricultural land,1993,61.01,0.6101
India,Agricultural land,1994,60.98,0.6098
India,Agricultural land,1995,60.86,0.6086
India,Agricultural land,1996,60.74,0.6074
India,Agricultural land,1997,60.87,0.6087
India,Agricultural land,1998,60.83,0.6083
India,Agricultural land,1999,60.88,0.6088
India,Agricultural land,2000,60.87,0.6087
India,Agricultural land,2001,60.7,0.607
India,Agricultural land,2002,60.73,0.6073
India,Agricultural land,2003,60.62,0.6062
India,Agricultural land,2004,60.67,0.6067
India,Agricultural land,2005,60.58,0.6058
India,Agricultural land,2006,60.51,0.6051
India,Agricultural land,2007,60.41,0.6041
India,Agricultural land,2008,60.46,0.6046
India,Agricultural land,2009,60.56,0.6056
India,Agricultural land,2010,60.4,0.604
India,Agricultural land,2011,60.43,0.6043
India,Agricultural land,2012,60.42,0.6042
India,Agricultural land,2013,60.44,0.6044
India,Agricultural land,2014,60.45,0.6045
India,Agricultural land,2015,60.43,0.6043
India,Agricultural land,2016,60.4,0.604
India,Agricultural land,2017,60.4,0.604
India,Agricultural land,2018,60.4,0.604
India,Agricultural land,2019,60.4,0.604
India,Arable land,1961,89.06,0.8906
India,Arable land,1962,88.79,0.8879
India,Arable land,1963,89.39,0.8939
India,Arable land,1964,89.26,0.8926
India,Arable land,1965,89.3,0.893
India,Arable land,1966,89.33,0.8933
India,Arable land,1967,89.86,0.8986
India,Arable land,1968,89.74,0.8974
India,Arable land,1969,89.98,0.8998
India,Arable land,1970,90.18,0.9018
India,Arable land,1971,89.84,0.8984
India,Arable land,1972,90.02,0.9002
India,Arable land,1973,90.09,0.9009
India,Arable land,1974,90.08,0.9008
India,Arable land,1975,90.06,0.9006
India,Arable land,1976,90.21,0.9021
India,Arable land,1977,90.24,0.9024
India,Arable land,1978,90.39,0.9039
India,Arable land,1979,90.51,0.9051
India,Arable land,1980,90.34,0.9034
India,Arable land,1981,90.31,0.9031
India,Arable land,1982,90.31,0.9031
India,Arable land,1983,90.18,0.9018
India,Arable land,1984,90.17,0.9017
India,Arable land,1985,90.18,0.9018
India,Arable land,1986,90.19,0.9019
India,Arable land,1987,89.9,0.899
India,Arable land,1988,89.94,0.8994
India,Arable land,1989,90.07,0.9007
India,Arable land,1990,90.1,0.901
India,Arable land,1991,89.86,0.8986
India,Arable land,1992,89.74,0.8974
India,Arable land,1993,89.64,0.8964
India,Arable land,1994,89.65,0.8965
India,Arable land,1995,89.48,0.8948
India,Arable land,1996,89.17,0.8917
India,Arable land,1997,89.29,0.8929
India,Arable land,1998,89.24,0.8924
India,Arable land,1999,88.93,0.8893
India,Arable land,2000,88.92,0.8892
India,Arable land,2001,88.83,0.8883
India,Arable land,2002,88.85,0.8885
India,Arable land,2003,88.65,0.8865
India,Arable land,2004,88.53,0.8853
India,Arable land,2005,88.52,0.8852
India,Arable land,2006,88.19,0.8819
India,Arable land,2007,87.98,0.8798
India,Arable land,2008,87.89,0.8789
India,Arable land,2009,87.7,0.877
India,Arable land,2010,87.43,0.8743
India,Arable land,2011,87.37,0.8737
India,Arable land,2012,87.14,0.8714
India,Arable land,2013,87.06,0.8706
India,Arable land,2014,87.06,0.8706
India,Arable land,2015,87.05,0.8705
India,Arable land,2016,87.05,0.8705
India,Arable land,2017,87.05,0.8705
India,Arable land,2018,87.05,0.8705
India,Arable land,2019,86.91,0.8691
India,Cropland,1961,92.02,0.9202
India,Cropland,1962,92.02,0.9202
India,Cropland,1963,91.99,0.9199
India,Cropland,1964,91.74,0.9174
India,Cropland,1965,91.68,0.9168
India,Cropland,1966,91.66,0.9166
India,Cropland,1967,92.12,0.9212
India,Cropland,1968,92.27,0.9227
India,Cropland,1969,92.51,0.9251
India,Cropland,1970,92.7,0.927
India,Cropland,1971,92.54,0.9254
India,Cropland,1972,92.72,0.9272
India,Cropland,1973,92.89,0.9289
India,Cropland,1974,92.87,0.9287
India,Cropland,1975,92.85,0.9285
India,Cropland,1976,92.99,0.9299
India,Cropland,1977,93.02,0.9302
India,Cropland,1978,93.16,0.9316
India,Cropland,1979,93.28,0.9328
India,Cropland,1980,93.28,0.9328
India,Cropland,1981,93.35,0.9335
India,Cropland,1982,93.35,0.9335
India,Cropland,1983,93.39,0.9339
India,Cropland,1984,93.37,0.9337
India,Cropland,1985,93.38,0.9338
India,Cropland,1986,93.5,0.935
India,Cropland,1987,93.48,0.9348
India,Cropland,1988,93.53,0.9353
India,Cropland,1989,93.65,0.9365
India,Cropland,1990,93.77,0.9377
India,Cropland,1991,93.72,0.9372
India,Cropland,1992,93.77,0.9377
India,Cropland,1993,93.88,0.9388
India,Cropland,1994,93.95,0.9395
India,Cropland,1995,93.9,0.939
India,Cropland,1996,93.87,0.9387
India,Cropland,1997,93.99,0.9399
India,Cropland,1998,94,0.94
India,Cropland,1999,93.98,0.9398
India,Cropland,2000,94.01,0.9401
India,Cropland,2001,94.09,0.9409
India,Cropland,2002,94.17,0.9417
India,Cropland,2003,94.2,0.942
India,Cropland,2004,94.19,0.9419
India,Cropland,2005,94.2,0.942
India,Cropland,2006,94.19,0.9419
India,Cropland,2007,94.2,0.942
India,Cropland,2008,94.24,0.9424
India,Cropland,2009,94.26,0.9426
India,Cropland,2010,94.24,0.9424
India,Cropland,2011,94.27,0.9427
India,Cropland,2012,94.27,0.9427
India,Cropland,2013,94.29,0.9429
India,Cropland,2014,94.29,0.9429
India,Cropland,2015,94.29,0.9429
India,Cropland,2016,94.29,0.9429
India,Cropland,2017,94.29,0.9429
India,Cropland,2018,94.29,0.9429
India,Cropland,2019,94.29,0.9429
India,Cropland,1961,54.15,0.5415
India,Cropland,1962,54.62,0.5462
India,Cropland,1963,54.5,0.545
India,Cropland,1964,54.53,0.5453
India,Cropland,1965,54.63,0.5463
India,Cropland,1966,54.73,0.5473
India,Cropland,1967,55.09,0.5509
India,Cropland,1968,55.35,0.5535
India,Cropland,1969,55.32,0.5532
India,Cropland,1970,55.52,0.5552
India,Cropland,1971,55.35,0.5535
India,Cropland,1972,55.49,0.5549
India,Cropland,1973,55.85,0.5585
India,Cropland,1974,56,0.56
India,Cropland,1975,56.11,0.5611
India,Cropland,1976,56.19,0.5619
India,Cropland,1977,56.19,0.5619
India,Cropland,1978,56.59,0.5659
India,Cropland,1979,56.65,0.5665
India,Cropland,1980,56.56,0.5656
India,Cropland,1981,56.64,0.5664
India,Cropland,1982,56.76,0.5676
India,Cropland,1983,56.68,0.5668
India,Cropland,1984,56.98,0.5698
India,Cropland,1985,56.96,0.5696
India,Cropland,1986,56.98,0.5698
India,Cropland,1987,57.08,0.5708
India,Cropland,1988,56.97,0.5697
India,Cropland,1989,57.17,0.5717
India,Cropland,1990,57.21,0.5721
India,Cropland,1991,57.24,0.5724
India,Cropland,1992,57.18,0.5718
India,Cropland,1993,57.27,0.5727
India,Cropland,1994,57.29,0.5729
India,Cropland,1995,57.15,0.5715
India,Cropland,1996,57.02,0.5702
India,Cropland,1997,57.21,0.5721
India,Cropland,1998,57.19,0.5719
India,Cropland,1999,57.22,0.5722
India,Cropland,2000,57.22,0.5722
India,Cropland,2001,57.12,0.5712
India,Cropland,2002,57.19,0.5719
India,Cropland,2003,57.11,0.5711
India,Cropland,2004,57.14,0.5714
India,Cropland,2005,57.07,0.5707
India,Cropland,2006,57,0.57
India,Cropland,2007,56.91,0.5691
India,Cropland,2008,56.97,0.5697
India,Cropland,2009,57.08,0.5708
India,Cropland,2010,56.92,0.5692
India,Cropland,2011,56.97,0.5697
India,Cropland,2012,56.96,0.5696
India,Cropland,2013,56.99,0.5699
India,Cropland,2014,57,0.57
India,Cropland,2015,56.98,0.5698
India,Cropland,2016,56.95,0.5695
India,Cropland,2017,56.95,0.5695
India,Cropland,2018,56.95,0.5695
India,Cropland,2019,56.95,0.5695
India,Forest land,1990,21.5,0.215
India,Forest land,1991,21.63,0.2163
India,Forest land,1992,21.75,0.2175
India,Forest land,1993,21.87,0.2187
India,Forest land,1994,22,0.22
India,Forest land,1995,22.12,0.2212
India,Forest land,1996,22.24,0.2224
India,Forest land,1997,22.36,0.2236
India,Forest land,1998,22.49,0.2249
India,Forest land,1999,22.61,0.2261
India,Forest land,2000,22.73,0.2273
India,Forest land,2001,22.8,0.228
India,Forest land,2002,22.86,0.2286
India,Forest land,2003,22.93,0.2293
India,Forest land,2004,22.99,0.2299
India,Forest land,2005,23.05,0.2305
India,Forest land,2006,23.12,0.2312
India,Forest land,2007,23.18,0.2318
India,Forest land,2008,23.25,0.2325
India,Forest land,2009,23.31,0.2331
India,Forest land,2010,23.37,0.2337
India,Forest land,2011,23.46,0.2346
India,Forest land,2012,23.55,0.2355
India,Forest land,2013,23.64,0.2364
India,Forest land,2014,23.73,0.2373
India,Forest land,2015,23.82,0.2382
India,Forest land,2016,23.91,0.2391
India,Forest land,2017,24,0.24
India,Forest land,2018,24.09,0.2409
India,Forest land,2019,24.18,0.2418
India,Planted Forest,1990,8.94,0.0894
India,Planted Forest,1991,9.46,0.0946
India,Planted Forest,1992,9.97,0.0997
India,Planted Forest,1993,10.47,0.1047
India,Planted Forest,1994,10.97,0.1097
India,Planted Forest,1995,11.47,0.1147
India,Planted Forest,1996,11.96,0.1196
India,Planted Forest,1997,12.44,0.1244
India,Planted Forest,1998,12.92,0.1292
India,Planted Forest,1999,13.39,0.1339
India,Planted Forest,2000,13.86,0.1386
India,Planted Forest,2001,14.32,0.1432
India,Planted Forest,2002,14.79,0.1479
India,Planted Forest,2003,15.24,0.1524
India,Planted Forest,2004,15.7,0.157
India,Planted Forest,2005,16.16,0.1616
India,Planted Forest,2006,16.61,0.1661
India,Planted Forest,2007,17.06,0.1706
India,Planted Forest,2008,17.5,0.175
India,Planted Forest,2009,17.95,0.1795
India,Planted Forest,2010,18.39,0.1839
India,Planted Forest,2011,18.39,0.1839
India,Planted Forest,2012,18.39,0.1839
India,Planted Forest,2013,18.39,0.1839
India,Planted Forest,2014,18.39,0.1839
India,Planted Forest,2015,18.39,0.1839
India,Planted Forest,2016,18.39,0.1839
India,Planted Forest,2017,18.39,0.1839
India,Planted Forest,2018,18.39,0.1839
India,Planted Forest,2019,18.39,0.1839
India,Naturally regenerating forest,1990,91.06,0.9106
India,Naturally regenerating forest,1991,90.54,0.9054
India,Naturally regenerating forest,1992,90.03,0.9003
India,Naturally regenerating forest,1993,89.53,0.8953
India,Naturally regenerating forest,1994,89.03,0.8903
India,Naturally regenerating forest,1995,88.53,0.8853
India,Naturally regenerating forest,1996,88.04,0.8804
India,Naturally regenerating forest,1997,87.56,0.8756
India,Naturally regenerating forest,1998,87.08,0.8708
India,Naturally regenerating forest,1999,86.61,0.8661
India,Naturally regenerating forest,2000,86.14,0.8614
India,Naturally regenerating forest,2001,85.68,0.8568
India,Naturally regenerating forest,2002,85.21,0.8521
India,Naturally regenerating forest,2003,84.76,0.8476
India,Naturally regenerating forest,2004,84.3,0.843
India,Naturally regenerating forest,2005,83.84,0.8384
India,Naturally regenerating forest,2006,83.39,0.8339
India,Naturally regenerating forest,2007,82.94,0.8294
India,Naturally regenerating forest,2008,82.5,0.825
India,Naturally regenerating forest,2009,82.05,0.8205
India,Naturally regenerating forest,2010,81.61,0.8161
India,Naturally regenerating forest,2011,81.61,0.8161
India,Naturally regenerating forest,2012,81.61,0.8161
India,Naturally regenerating forest,2013,81.61,0.8161
India,Naturally regenerating forest,2014,81.61,0.8161
India,Naturally regenerating forest,2015,81.61,0.8161
India,Naturally regenerating forest,2016,81.61,0.8161
India,Naturally regenerating forest,2017,81.61,0.8161
India,Naturally regenerating forest,2018,81.61,0.8161
India,Naturally regenerating forest,2019,81.61,0.8161
USA,Agricultural land,1961,48.86,0.4886
USA,Agricultural land,1962,48.48,0.4848
USA,Agricultural land,1963,48.2,0.482
USA,Agricultural land,1964,47.93,0.4793
USA,Agricultural land,1965,47.59,0.4759
USA,Agricultural land,1966,47.55,0.4755
USA,Agricultural land,1967,47.53,0.4753
USA,Agricultural land,1968,47.58,0.4758
USA,Agricultural land,1969,47.54,0.4754
USA,Agricultural land,1970,47.43,0.4743
USA,Agricultural land,1971,47.31,0.4731
USA,Agricultural land,1972,47.2,0.472
USA,Agricultural land,1973,47.08,0.4708
USA,Agricultural land,1974,46.97,0.4697
USA,Agricultural land,1975,46.97,0.4697
USA,Agricultural land,1976,46.97,0.4697
USA,Agricultural land,1977,46.98,0.4698
USA,Agricultural land,1978,46.75,0.4675
USA,Agricultural land,1979,46.75,0.4675
USA,Agricultural land,1980,46.75,0.4675
USA,Agricultural land,1981,46.75,0.4675
USA,Agricultural land,1982,47.1,0.471
USA,Agricultural land,1983,47.1,0.471
USA,Agricultural land,1984,47.1,0.471
USA,Agricultural land,1985,47.1,0.471
USA,Agricultural land,1986,47.1,0.471
USA,Agricultural land,1987,46.62,0.4662
USA,Agricultural land,1988,46.62,0.4662
USA,Agricultural land,1989,46.62,0.4662
USA,Agricultural land,1990,46.62,0.4662
USA,Agricultural land,1991,46.62,0.4662
USA,Agricultural land,1992,46.45,0.4645
USA,Agricultural land,1993,46.18,0.4618
USA,Agricultural land,1994,45.98,0.4598
USA,Agricultural land,1995,45.87,0.4587
USA,Agricultural land,1996,45.45,0.4545
USA,Agricultural land,1997,45.3,0.453
USA,Agricultural land,1998,45.27,0.4527
USA,Agricultural land,1999,45.19,0.4519
USA,Agricultural land,2000,45.23,0.4523
USA,Agricultural land,2001,45.29,0.4529
USA,Agricultural land,2002,45.08,0.4508
USA,Agricultural land,2003,45.08,0.4508
USA,Agricultural land,2004,45.08,0.4508
USA,Agricultural land,2005,45.07,0.4507
USA,Agricultural land,2006,45.07,0.4507
USA,Agricultural land,2007,45.06,0.4506
USA,Agricultural land,2008,44.92,0.4492
USA,Agricultural land,2009,44.71,0.4471
USA,Agricultural land,2010,44.49,0.4449
USA,Agricultural land,2011,44.28,0.4428
USA,Agricultural land,2012,44.06,0.4406
USA,Agricultural land,2013,44.12,0.4412
USA,Agricultural land,2014,44.18,0.4418
USA,Agricultural land,2015,44.24,0.4424
USA,Agricultural land,2016,44.3,0.443
USA,Agricultural land,2017,44.36,0.4436
USA,Agricultural land,2018,44.36,0.4436
USA,Agricultural land,2019,44.36,0.4436
USA,Arable land,1961,40.36,0.4036
USA,Arable land,1962,39.89,0.3989
USA,Arable land,1963,40.68,0.4068
USA,Arable land,1964,40.54,0.4054
USA,Arable land,1965,40.61,0.4061
USA,Arable land,1966,40.34,0.4034
USA,Arable land,1967,40.08,0.4008
USA,Arable land,1968,41.53,0.4153
USA,Arable land,1969,43.46,0.4346
USA,Arable land,1970,43.45,0.4345
USA,Arable land,1971,43.42,0.4342
USA,Arable land,1972,43.38,0.4338
USA,Arable land,1973,43.38,0.4338
USA,Arable land,1974,43.35,0.4335
USA,Arable land,1975,43.35,0.4335
USA,Arable land,1976,43.35,0.4335
USA,Arable land,1977,43.35,0.4335
USA,Arable land,1978,44.08,0.4408
USA,Arable land,1979,44.08,0.4408
USA,Arable land,1980,44.08,0.4408
USA,Arable land,1981,44.08,0.4408
USA,Arable land,1982,43.52,0.4352
USA,Arable land,1983,43.52,0.4352
USA,Arable land,1984,43.52,0.4352
USA,Arable land,1985,43.52,0.4352
USA,Arable land,1986,43.52,0.4352
USA,Arable land,1987,43.5,0.435
USA,Arable land,1988,43.5,0.435
USA,Arable land,1989,43.5,0.435
USA,Arable land,1990,43.49,0.4349
USA,Arable land,1991,43.49,0.4349
USA,Arable land,1992,43.27,0.4327
USA,Arable land,1993,43.21,0.4321
USA,Arable land,1994,43.2,0.432
USA,Arable land,1995,43.28,0.4328
USA,Arable land,1996,43,0.43
USA,Arable land,1997,42.81,0.4281
USA,Arable land,1998,42.64,0.4264
USA,Arable land,1999,42.37,0.4237
USA,Arable land,2000,42.32,0.4232
USA,Arable land,2001,42.27,0.4227
USA,Arable land,2002,41.88,0.4188
USA,Arable land,2003,41.34,0.4134
USA,Arable land,2004,40.8,0.408
USA,Arable land,2005,40.27,0.4027
USA,Arable land,2006,39.73,0.3973
USA,Arable land,2007,39.19,0.3919
USA,Arable land,2008,39.04,0.3904
USA,Arable land,2009,38.9,0.389
USA,Arable land,2010,38.75,0.3875
USA,Arable land,2011,38.6,0.386
USA,Arable land,2012,38.46,0.3846
USA,Arable land,2013,38.54,0.3854
USA,Arable land,2014,38.62,0.3862
USA,Arable land,2015,38.7,0.387
USA,Arable land,2016,38.79,0.3879
USA,Arable land,2017,38.87,0.3887
USA,Arable land,2018,38.87,0.3887
USA,Arable land,2019,38.87,0.3887
USA,Cropland,1961,40.78,0.4078
USA,Cropland,1962,40.31,0.4031
USA,Cropland,1963,41.1,0.411
USA,Cropland,1964,40.96,0.4096
USA,Cropland,1965,41.04,0.4104
USA,Cropland,1966,40.76,0.4076
USA,Cropland,1967,40.5,0.405
USA,Cropland,1968,41.95,0.4195
USA,Cropland,1969,43.87,0.4387
USA,Cropland,1970,43.85,0.4385
USA,Cropland,1971,43.83,0.4383
USA,Cropland,1972,43.79,0.4379
USA,Cropland,1973,43.78,0.4378
USA,Cropland,1974,43.76,0.4376
USA,Cropland,1975,43.76,0.4376
USA,Cropland,1976,43.76,0.4376
USA,Cropland,1977,43.76,0.4376
USA,Cropland,1978,44.52,0.4452
USA,Cropland,1979,44.52,0.4452
USA,Cropland,1980,44.52,0.4452
USA,Cropland,1981,44.52,0.4452
USA,Cropland,1982,44,0.44
USA,Cropland,1983,44,0.44
USA,Cropland,1984,44,0.44
USA,Cropland,1985,44,0.44
USA,Cropland,1986,44,0.44
USA,Cropland,1987,43.98,0.4398
USA,Cropland,1988,43.98,0.4398
USA,Cropland,1989,43.98,0.4398
USA,Cropland,1990,43.98,0.4398
USA,Cropland,1991,43.98,0.4398
USA,Cropland,1992,43.76,0.4376
USA,Cropland,1993,43.73,0.4373
USA,Cropland,1994,43.72,0.4372
USA,Cropland,1995,43.83,0.4383
USA,Cropland,1996,43.55,0.4355
USA,Cropland,1997,43.41,0.4341
USA,Cropland,1998,43.24,0.4324
USA,Cropland,1999,43.02,0.4302
USA,Cropland,2000,42.97,0.4297
USA,Cropland,2001,42.92,0.4292
USA,Cropland,2002,42.54,0.4254
USA,Cropland,2003,42,0.42
USA,Cropland,2004,41.46,0.4146
USA,Cropland,2005,40.92,0.4092
USA,Cropland,2006,40.38,0.4038
USA,Cropland,2007,39.84,0.3984
USA,Cropland,2008,39.7,0.397
USA,Cropland,2009,39.56,0.3956
